,date,measurements,ok,anomalies,ratio
295,2022-04-30,13507,8811,4696,0.3476715777004516
296,2022-05-02,7739,5195,2544,0.3287246414265409
297,2022-05-03,27812,18802,9010,0.32396088019559904
298,2022-05-04,459,293,166,0.3616557734204793
299,2022-05-05,11898,8054,3844,0.32307950916120354
300,2022-05-06,29116,19648,9468,0.3251820304986949
301,2022-05-09,2014,1561,453,0.22492552135054616
302,2022-05-10,2010,1409,601,0.2990049751243781
303,2022-05-12,2010,1571,439,0.21840796019900496
304,2022-05-13,2010,1426,584,0.29054726368159206
305,2022-05-16,1570,1269,301,0.19171974522292995
306,2022-05-17,2438,1807,631,0.25881870385561934
307,2022-05-19,2003,1589,414,0.20668996505242138
308,2022-05-20,2003,1471,532,0.2656015976035946
309,2022-05-23,2003,1608,395,0.19720419370943584
310,2022-05-24,3181,2327,854,0.2684690348946872
311,2022-05-26,2003,1625,378,0.18871692461308037
312,2022-05-27,2003,1471,532,0.2656015976035946
313,2022-05-30,2003,1581,422,0.2106839740389416
314,2022-05-31,2003,1470,533,0.26610084872690964
315,2022-06-02,2003,1592,411,0.20519221168247628
316,2022-06-03,2003,1472,531,0.2651023464802796
317,2022-06-06,892,741,151,0.16928251121076232
318,2022-06-10,2003,1472,531,0.2651023464802796
319,2022-06-14,2003,1484,519,0.25911133300049927
320,2022-06-17,2003,1487,516,0.25761357963055415
321,2022-06-21,2002,1487,515,0.25724275724275725
322,2022-06-24,2002,1490,512,0.25574425574425574
323,2022-06-28,2017,1501,516,0.255825483391175
324,2022-07-01,2017,1501,516,0.255825483391175
325,2022-07-05,2019,1507,512,0.2535908865775136
326,2022-07-07,345,282,63,0.1826086956521739
327,2022-07-08,1674,1226,448,0.26762246117084826
328,2022-07-15,2019,1508,511,0.2530955918771669
329,2022-07-18,344,282,62,0.18023255813953487
330,2022-07-19,1675,1218,457,0.2728358208955224
331,2022-07-21,345,283,62,0.17971014492753623
332,2022-07-22,1674,1224,450,0.26881720430107525
333,2022-07-25,345,283,62,0.17971014492753623
334,2022-07-26,1674,1223,451,0.2694145758661888
335,2022-07-28,286,234,52,0.18181818181818182
336,2022-07-29,1733,1274,459,0.26485862665897286
337,2022-08-01,359,293,66,0.18384401114206128
338,2022-08-02,1454,1062,392,0.2696011004126547
339,2022-08-08,347,288,59,0.17002881844380405
340,2022-08-09,1672,1221,451,0.26973684210526316
341,2022-08-11,346,286,60,0.17341040462427745
342,2022-08-12,1674,1222,452,0.27001194743130225
343,2022-08-15,361,297,64,0.1772853185595568
344,2022-08-16,1659,1211,448,0.270042194092827
345,2022-08-18,373,304,69,0.18498659517426275
346,2022-08-19,1647,1203,444,0.26958105646630237
347,2022-08-22,272,222,50,0.18382352941176472
348,2022-08-23,1748,1284,464,0.2654462242562929
349,2022-08-26,2020,1505,515,0.25495049504950495
350,2022-09-12,319,267,52,0.16300940438871472
351,2022-09-13,1703,1244,459,0.26952436876101
352,2022-09-15,289,241,48,0.16608996539792387
353,2022-09-16,1729,1262,467,0.2700983227299017
354,2022-09-22,194,148,46,0.23711340206185566
355,2022-09-23,1824,1341,483,0.26480263157894735
356,2022-09-26,293,229,64,0.21843003412969283
357,2022-09-27,1727,1259,468,0.2709901563404748
358,2022-09-29,296,232,64,0.21621621621621623
359,2022-09-30,1723,1255,468,0.2716192687173535
360,2022-10-03,209,162,47,0.22488038277511962
361,2022-10-04,1809,1305,504,0.27860696517412936
362,2022-10-06,237,184,53,0.22362869198312235
363,2022-10-07,1781,1288,493,0.2768107804604155
364,2022-10-10,208,159,49,0.23557692307692307
365,2022-10-11,1810,1311,499,0.27569060773480664
366,2022-10-13,9103,6612,2491,0.2736460507524992
367,2022-10-14,23904,16818,7086,0.2964357429718876
368,2022-10-19,468,348,120,0.2564102564102564
369,2022-10-20,7876,5666,2210,0.28059928897917724
370,2022-10-21,25962,18297,7665,0.29523919574763113
371,2022-10-23,577,437,140,0.24263431542461006
372,2022-10-24,8073,5764,2309,0.28601511210206865
373,2022-10-25,22154,15401,6753,0.30482079985555655
374,2022-10-27,9281,6842,2439,0.26279495743993103
375,2022-10-28,19229,13812,5417,0.28170991731239275
376,2022-10-30,603,446,157,0.2603648424543947
377,2022-10-31,8878,6461,2417,0.2722460013516558
378,2022-11-01,24156,17239,6917,0.2863470773306839
379,2022-11-03,11981,8961,3020,0.2520657708037726
380,2022-11-04,22342,16091,6251,0.2797869483484021
381,2022-11-06,1015,798,217,0.21379310344827587
382,2022-11-07,9690,7328,2362,0.2437564499484004
383,2022-11-08,25673,18394,7279,0.28352744128072294
384,2022-11-09,561,420,141,0.25133689839572193
385,2022-11-10,7422,5482,1940,0.26138507140932365
386,2022-11-11,21535,15868,5667,0.263153006733225
387,2022-11-13,742,578,164,0.2210242587601078
388,2022-11-14,10077,7525,2552,0.2532499751910291
389,2022-11-15,16721,11796,4925,0.29453980025118115
390,2022-11-16,526,405,121,0.2300380228136882
391,2022-11-17,8522,6363,2159,0.253344285379019
392,2022-11-18,27330,19904,7426,0.27171606293450423
393,2022-11-20,696,546,150,0.21551724137931033
394,2022-11-21,9615,7346,2269,0.23598543941757671
395,2022-11-22,21087,15333,5754,0.27286954047517425
396,2022-11-23,435,329,106,0.24367816091954023
397,2022-11-24,7777,5780,1997,0.25678282113925677
398,2022-11-25,26162,19305,6857,0.2620976989526795
399,2022-11-27,151,119,32,0.2119205298013245
400,2022-11-28,6053,4517,1536,0.2537584668759293
401,2022-11-29,15777,11704,4073,0.25816061355137226
402,2022-11-30,140,107,33,0.2357142857142857
403,2022-12-01,7945,5908,2037,0.2563876651982379
404,2022-12-02,22230,16397,5833,0.2623931623931624
405,2022-12-04,269,208,61,0.22676579925650558
406,2022-12-05,8114,6038,2076,0.25585407936899185
407,2022-12-06,21932,16101,5831,0.2658672259711837
408,2022-12-07,306,238,68,0.2222222222222222
409,2022-12-08,7464,5515,1949,0.26112004287245444
410,2022-12-09,18503,13755,4748,0.2566070366967519
411,2022-12-11,312,243,69,0.22115384615384615
412,2022-12-12,8082,5989,2093,0.25897055184360307
413,2022-12-13,21936,16100,5836,0.2660466812545587
414,2022-12-14,313,244,69,0.22044728434504793
415,2022-12-15,8071,5985,2086,0.25845620121422375
416,2022-12-16,18500,13703,4797,0.2592972972972973
417,2022-12-19,8224,6093,2131,0.2591196498054475
418,2022-12-20,23563,17373,6190,0.26269999575605824
419,2022-12-21,319,255,64,0.2006269592476489
420,2022-12-22,7928,5895,2033,0.25643289606458125
421,2022-12-23,22098,16286,5812,0.26301022716987965
422,2022-12-25,196,156,40,0.20408163265306123
423,2022-12-26,5857,4372,1485,0.25354276933583747
424,2022-12-27,20884,15470,5414,0.2592415246121433
425,2022-12-29,6069,4437,1632,0.2689075630252101
426,2022-12-30,22673,16874,5799,0.25576677104926565
427,2023-01-01,669,512,157,0.23467862481315396
428,2023-01-02,8977,6573,2404,0.2677954773309569
429,2023-01-03,18676,13943,4733,0.25342685799957165
430,2023-01-04,625,476,149,0.2384
431,2023-01-05,9209,6754,2455,0.2665870344228472
432,2023-01-06,20511,15291,5220,0.2544975866608161
433,2023-01-08,289,218,71,0.24567474048442905
434,2023-01-09,6385,4741,1644,0.2574784651527016
435,2023-01-10,23118,17222,5896,0.25503936326671856
436,2023-01-11,177,142,35,0.1977401129943503
437,2023-01-12,7812,5585,2227,0.2850742447516641
438,2023-01-13,22380,16722,5658,0.25281501340482576
439,2023-01-16,9175,6612,2563,0.27934604904632154
440,2023-01-17,22083,16365,5718,0.2589322102975139
441,2023-01-18,247,192,55,0.22267206477732793
442,2023-01-19,8345,6058,2287,0.27405632115038947
443,2023-01-20,21925,16397,5528,0.25213226909920183
444,2023-01-22,262,219,43,0.16412213740458015
445,2023-01-23,10858,8515,2343,0.21578559587400994
446,2023-01-24,22245,16420,5825,0.2618565969880872
447,2023-01-25,266,223,43,0.16165413533834586
448,2023-01-26,10806,8446,2360,0.2183971867481029
449,2023-01-27,22011,16126,5885,0.2673663168415792
450,2023-01-30,13255,10269,2986,0.225273481705017
451,2023-01-31,18566,13946,4620,0.2488419691909943
452,2023-02-01,455,364,91,0.2
453,2023-02-02,10131,7349,2782,0.2746027045701313
454,2023-02-03,20622,15328,5294,0.2567161284065561
455,2023-02-05,120,90,30,0.25
456,2023-02-06,7326,5485,1841,0.2512967512967513
457,2023-02-07,23804,17610,6194,0.2602083683414552
458,2023-02-08,207,168,39,0.18840579710144928
459,2023-02-09,7055,5239,1816,0.25740609496810773
